wav_filename,wav_filesize,transcript,stt,I,D,S,N,Accuracy
singlish-test/0.wav,204,a group of boys then challenged him to climb over the railing and stand on the parapet below,a group of boys then challenged him to climb over the reeling and stand on the parapet below,0,0,2,92,0.9782608695652174
singlish-test/1.wav,176,swap offer rate is based on the exchange rate of s g d with u s d,swap or forate is base on the exchanged rate of esgi di with fu sd,5,4,4,65,0.8
singlish-test/2.wav,194,an officer arrived and confiscated plastic bags containing the molluscs from the trio,an officer arriving confisicated plastik becks containing the molo scol from the tril,3,3,9,85,0.8235294117647058
singlish-test/3.wav,167,a box of tissue usually sits ready on the table for wiping tears,a box of tissue usually six ready on the table for wiping tears,0,1,1,64,0.96875
singlish-test/4.wav,189,rescuers who used what appeared to be makeshift stretchers to carry the injured,rescuers who use what appeared to be maxshi stretches to carry the injured,0,5,1,79,0.9240506329113924
singlish-test/5.wav,172,airlines are rapidly expanding their fleets to capture a slice of this market,er lines are rapidly expending their flits to capture a slice of dismarqet,0,3,7,77,0.8701298701298701
singlish-test/6.wav,228,according to the chronicle the graduate student denied involvement with the online ads,according to the crony call the graduates studen de nin involve monwith or the onli ets,8,7,6,86,0.7558139534883721
singlish-test/7.wav,189,investigation are still ongoing and well update this article when more details arrive,y investigation are still on going and we will abdit thes artico when more details arrive,6,2,5,85,0.8470588235294118
singlish-test/8.wav,279,as systemic changes are implemented he reiterated that pacing and prioritisation are critical,a systomic changes are implemented he reiterated the pacing and prioritisation a critical,0,4,2,93,0.9354838709677419
singlish-test/9.wav,189,a partial eclipse is where the sun is partially by the moon,a passiure eclipses where the side is partially abserved by the moon,11,2,6,59,0.6779661016949152
singlish-test/10.wav,193,as a result power was diverted to a backup breaker which also tripped,as a result power was deverted to a bankrupt breaker which also treapped,3,0,3,69,0.9130434782608695
singlish-test/11.wav,213,but mister cooks comments marked a new level of specificity on the topic,but mister cook's commence mark a new level or specificity on the topic,1,2,3,72,0.9166666666666666
singlish-test/12.wav,221,as settler you collect points by controlling the territories and resource to build structures,a celer you collect points by controling the terratories and risus to be strutches,0,11,7,93,0.8064516129032258
singlish-test/13.wav,136,and regulators can gauge the service of operators,and regulatorskan gouce the service of operatos,0,2,3,49,0.8979591836734694
singlish-test/14.wav,89,he attempt to sit up clutching his neck,he attemptto sit up clutching his neck,0,1,0,39,0.9743589743589743
singlish-test/15.wav,108,the first four books were completed as scheduled,the first four books were completely ascadiled,1,3,3,48,0.8541666666666666
singlish-test/16.wav,117,mergers of this sort are however not uncommon,margies of disota however not uncommon,1,8,2,45,0.7555555555555555
singlish-test/17.wav,135,the s se index fell by zero point nine percent today,the s s e in debts fell by zero y nin per cent to day,6,5,2,52,0.75
singlish-test/18.wav,101,cases like this are a reminder to declare,cases like this are reminded to declare,0,2,1,41,0.926829268292683
singlish-test/19.wav,109,after that his voice became softer and softer,after that his voice became softer and softer,0,0,0,45,1.0
singlish-test/20.wav,135,alcohol bottles were literally raining at police officers,a cohobatus wire litererening at pulis offices,0,11,8,57,0.6666666666666666
singlish-test/21.wav,196,but he really wanted to make satay and hung around satay sellers and memorized their ingredients,but he really wanted to meet saty and hung around saty sailors and memorize their ingredients,0,3,6,96,0.90625
singlish-test/22.wav,113,he was assigned to the forces signals company,he was assigned to the force signals company,0,1,0,45,0.9777777777777777
singlish-test/23.wav,130,bigger units face more challenges in todays market,bigger unites face more challenges into dhes market,2,1,2,50,0.9
singlish-test/24.wav,93,but dont worry its not a slave camp,but dowery is not a slifve kem,1,6,4,35,0.6857142857142857
singlish-test/25.wav,130,repricing tends to have lower costs than refinancing,reprising tends to have lower cause an refinancing,1,3,3,52,0.8653846153846154
singlish-test/26.wav,126,he was very passionate about bowling very sincere,he was very passionit about balling very sincere,0,1,3,49,0.9183673469387755
singlish-test/27.wav,142,avoid restricting his movements when he is awake,avoid restreating his movements when he 's awak,0,1,3,48,0.9166666666666666
singlish-test/28.wav,169,and these hooks dont just afflict otters either,and thes hooks don't just afflict a thes alters either,8,1,1,47,0.7872340425531915
singlish-test/29.wav,119,it is also the ultimate achievement for a leader,it is also the altimake achieveman for a leader,0,1,3,48,0.9166666666666666
singlish-test/30.wav,145,the flagship mine restarted processing earlier this month,the flechip man restorted processing a lear disman,0,7,9,57,0.7192982456140351
singlish-test/31.wav,131,shes remitting money to china to her granddaughter,she's remainting money to china to her granddaughter,2,0,1,50,0.94
singlish-test/32.wav,211,beware of anyone who plays the racial card asking chinese resident to vote for chinese only,beway of anyone who please the ricial cat asking chinese resident to vote for chinese only,1,2,5,91,0.9120879120879121
singlish-test/33.wav,116,we will bring all the branch campuses together,we will bring all the branch comfuuses together,1,0,2,46,0.9347826086956522
singlish-test/34.wav,245,it has fine fibre marbling and a good combination of beef taste and fat which melts in your mouth,it has fine fible mubling and a good combination of beef tis and fet which melts in your mouth,0,3,4,97,0.9278350515463918
singlish-test/35.wav,203,didnt you see the ferrari crashing into the taxi when the traffic lights were in favour of the taxi,di gn you see the friry crashing into the texy when the treffylits were in favor of the tee,1,9,9,99,0.8080808080808081
singlish-test/36.wav,165,funny and really helpful in scenes that were more complicated physically,findyn and really helpful in sense that were more complicated physically,2,2,2,72,0.9166666666666666
singlish-test/37.wav,199,but he pursued in it and eventually uncovered an international piracy syndicate,but he puss hue in it and eventually uncover an international piracys syndicate,3,3,1,79,0.9113924050632911
singlish-test/38.wav,157,couples getting married then had to present their birth certificates instead,couples getting mery denhad to present the above certificates instod,0,8,9,76,0.7763157894736842
singlish-test/39.wav,181,he was elected after winning the mandate of the people,he was but poolarly letter after weny the men did of the people,13,4,8,54,0.5370370370370371
singlish-test/40.wav,160,because of poor maintenance defect were found in the float switches,because our poor maintainants defect were fand in the flod sweiches,3,3,6,67,0.8208955223880597
singlish-test/41.wav,179,asian dads are typically not his openly affection with their kids,asian dets artipically not his openly affection with the akis,0,4,5,65,0.8615384615384616
singlish-test/42.wav,196,each bloom is complemented by a contrasting light brown waxy lip,each bloom is comly mented by a contrasting light brown waxy lip,0,0,3,64,0.953125
singlish-test/43.wav,168,h e b has relaxed the rules last year within the temple premises,he che be has relexed the rules lacie within the temper premises,4,4,5,64,0.796875
singlish-test/44.wav,142,doing an ankle rotation with the tree because he can,doing an impy anchol rotation with the tree because he can,7,1,1,52,0.8269230769230769
singlish-test/45.wav,198,mercury is found in dental amalgams together with several other metals,muccury is found in denta andmangums together with savera ather metals,2,2,6,70,0.8571428571428571
singlish-test/46.wav,174,the challenge is daunting and i accept this award in trepidation,the chailash is dunting and i accept the sawhat intripidition,2,5,8,64,0.765625
singlish-test/47.wav,164,he then deposited the altered cheque into his wife bank account,he then deposited the alter check into his wife's bank account,2,3,2,63,0.8888888888888888
singlish-test/48.wav,155,amanda kennedy is in her cheese room wearing a white smock,a mendor kennedy is in her chees room wearing a white smoke,2,1,4,58,0.8793103448275862
singlish-test/49.wav,145,it is everyone prayers for the en bloc to go through,it is every one prayes for the emblod to go true,1,5,3,52,0.8269230769230769
singlish-test/50.wav,187,its very driven around relationship and its very driven around networking,is very drivin around elasionship and is very drive driving round nectworking,8,4,2,73,0.8082191780821918
singlish-test/51.wav,153,running surveys and helps in understanding what makes people tick,rending severes and riciad helps in understanding what makes people tik,8,2,4,65,0.7846153846153846
singlish-test/52.wav,207,han faces an additional charge for organizing a demonstration without approval,hand faces an additional charge for organizing a demonstration without approval,1,0,0,78,0.9871794871794872
singlish-test/53.wav,198,plant protein particularly soy and soy products can also be used,plan protin particularly si and si produc skin also be used,0,5,5,64,0.84375
singlish-test/54.wav,142,mary and her family were moving to another city,mary and her family were moving to another city,0,0,0,47,1.0
singlish-test/55.wav,166,they brought some clothes and three days worth of food and water in their car,they brought some clothes and three days wolf of food and water in the acar,0,2,4,77,0.922077922077922
singlish-test/56.wav,260,on the way to their destination they drove past a hill that overlooked vast fields of sunflowers,on the way to their destination they drove past a hill that overlooked vast fields of sunflowers,0,0,0,96,1.0
singlish-test/57.wav,183,when they reached they saw a huge tree and sat beneath the foliage,when they reached they saw a huge tree and set beneath the folly age,2,0,2,66,0.9393939393939394
singlish-test/58.wav,183,after their satisfying lunch the family took a nap with the grass as their bed,after they ar satisfying launch the family took a nep with the cross as the abeyed,4,0,8,78,0.8461538461538461
singlish-test/59.wav,149,when they woke up from their rest it was already mid afternoon,when they woke up from their arrest it was already meet afternoon,3,0,2,62,0.9193548387096774
singlish-test/60.wav,203,as they walked back they were shocked to see a pack of stray dogs circling around the car,as they walked back they were shocked to see a pack of stray darks circling around the car,1,0,2,89,0.9662921348314607
singlish-test/61.wav,153,it seemed that they had smelt the food that were left in the boot,it seemed that they had smelt the food that were left in the boots,1,0,0,65,0.9846153846153847
singlish-test/62.wav,170,soon the menacing pack began to approach the poor outnumbered family,soon the minacing pag began to approach the poor outnumbered family,0,1,2,68,0.9558823529411765
singlish-test/63.wav,148,he told them that it was rare for tourists to make a stop at this area,he told them that it was rare for tworis to make a stop at this area,1,3,0,70,0.9428571428571428
singlish-test/64.wav,182,marys father thanked the old man and passed him an untouched box of sandwiches,mary's father thanked the old man and passed him an untouched box of sandwiches,1,0,0,78,0.9871794871794872
singlish-test/65.wav,152,mary fell asleep on her mothers lap beat from the whole ordeal,mary fell asleep on her mother's lep beat from the whole ordeal,1,0,1,62,0.967741935483871
singlish-test/66.wav,122,we watched the drama unfold before our eyes,we watched the dramma and fold before our eyes,3,0,1,43,0.9069767441860465
singlish-test/67.wav,130,i felt happy upon hearing the good news from my parents,i felt happy upon hearing the good news from my parents,0,0,0,55,1.0
singlish-test/68.wav,134,flourless cakes are not always better for health,flullers cakes are not always better for health,0,1,2,48,0.9375
singlish-test/69.wav,184,you can bake shortbread cookies just with sugar butter and flour,you can't bak short bread cookies just with sugar butter and flor,3,2,0,64,0.921875
singlish-test/70.wav,108,my uncle is thirty years younger than me,my uncle is thirty years younger than me,0,0,0,40,1.0
singlish-test/71.wav,107,i attached a mirror to my closet door,i attached a mirror to my closet door,0,0,0,37,1.0
singlish-test/72.wav,91,something seems to be bothering him,something seems to be wothering him,0,0,1,35,0.9714285714285714
singlish-test/73.wav,137,he was the president of the dance club in my school,he was the precedence of the dance club in my school,1,0,3,51,0.9215686274509803
singlish-test/74.wav,125,after a hot day all i want to do is take a bath,after a hod day all i want to do is take a bath,0,0,1,47,0.9787234042553191
singlish-test/75.wav,140,the thief was careful to not leave his tracks in the snow,the thief was carefully to not leave his tracks in the snow,2,0,0,57,0.9649122807017544
singlish-test/76.wav,157,its a little cruel to be so blunt but thats the working world for you,it's a little cruel to be so blunt but that's the working worl for you,2,1,0,69,0.9565217391304348
singlish-test/77.wav,185,he thought hes brave for saying the truth but hes actually just adding fuel to the fire,he thought his frie for saying the truth but hi's actually just adding fuel to the fire,1,1,4,87,0.9310344827586207
singlish-test/78.wav,84,i think ill make a move first,i think i'll make a feel first,1,0,4,29,0.8275862068965517
singlish-test/79.wav,108,i believe that visitation hours are over,i believe that visitation hours are over,0,0,0,40,1.0
singlish-test/80.wav,155,we now have to walk twenty minutes farther just to get a cup of coffee,we now have to walk twenty minutes further just to get a cup of coffee,0,0,1,70,0.9857142857142858
singlish-test/81.wav,104,this is your last chance to join the lucky draw,this is your last chance to join the lucky draw,0,0,0,47,1.0
singlish-test/82.wav,108,everyones hoping to find the cure for cancer,every one's hoping to find a cure for cancer,2,2,1,44,0.8863636363636364
singlish-test/83.wav,125,he became very fit ever since his breakup last year,he became very fait ever since his break out lass year,3,0,2,51,0.9019607843137255
singlish-test/84.wav,57,i need your help,i need your help,0,0,0,16,1.0
singlish-test/85.wav,73,i live in singapore,i leave in singapo,1,2,1,19,0.7894736842105263
singlish-test/86.wav,108,she always keeps her desk neat and tidy,she always keeps her destinat anxiety,1,3,4,39,0.7948717948717948
singlish-test/87.wav,83,the pot calls the kettle black,the pot calls the kattle black,0,0,1,30,0.9666666666666667
singlish-test/88.wav,71,she is a deeper sleep,she is a deep asleep,0,1,2,21,0.8571428571428571
singlish-test/89.wav,82,he is a real nitpicker,he 's the real need picker,4,0,4,22,0.6363636363636364
singlish-test/90.wav,85,the watermelon has ripened,the water melen has rippened,2,0,1,26,0.8846153846153846
singlish-test/91.wav,94,my father fired the star worker,my father fied thes tou wolker,1,2,3,31,0.8064516129032258
singlish-test/92.wav,109,the children wipe their noses on the towel,the children wive their noses on the tawel,0,0,2,42,0.9523809523809523
singlish-test/93.wav,138,our sports teams have achieved remarkable feats this year,our spot seams have ashieved remarkable feats this year,0,2,2,57,0.9298245614035088
singlish-test/94.wav,71,tell him to zip his lip,tell him to zip his sleep,2,0,1,23,0.8695652173913043
singlish-test/95.wav,75,i like listening to rap,i like listening to rab,0,0,1,23,0.9565217391304348
singlish-test/96.wav,132,we know more about space than the seasons and the seas,we know more about space than the seasons and te seas,0,1,0,54,0.9814814814814815
singlish-test/97.wav,126,the witch put a spell on the prince but it was the wrong one,the witch put a spell on the prince but it was the wrong one,0,0,0,60,1.0
singlish-test/98.wav,114,a murder had already been plotted a month ago,a murther had already been plotted a month ago,1,0,1,45,0.9555555555555556
singlish-test/99.wav,118,hold your bat steady and focus your eyes on the ball,hold your bed steady and focis your eyes on the wall,0,0,4,52,0.9230769230769231
singlish-test/100.wav,99,sakura flowers bloom around april,saccura flowrs bloom around april,1,1,1,33,0.9090909090909091
singlish-test/101.wav,144,rubber boots are not popular in singapore despite our rainy weather,rabther boots are not popular in singapar despite our rainy weather,1,1,3,67,0.9253731343283582
singlish-test/102.wav,114,the butler poured the guest a glass of water,the bachelor pauged to gass a glass of water,2,2,8,44,0.7272727272727273
singlish-test/103.wav,83,you cant compare apples to oranges,you can confer apples to oranges,0,2,3,34,0.8529411764705882
singlish-test/104.wav,93,lets dissect this problem part by part,let's to say this problem fared by part,2,1,7,38,0.7368421052631579
singlish-test/105.wav,128,theres something about hotel beds that makes them extra cosy,there's something about hotel bats them mikes them extra cosy,1,0,5,60,0.9
singlish-test/106.wav,112,birds have been found to be our modernday dinosaurs,bids have been found to be our modernty tina saws,1,3,4,51,0.8431372549019608
singlish-test/107.wav,112,she scooped herself a big bowl of corn soup,she scooped herself a big bowl of corn soup,0,0,0,43,1.0
