Unnamed: 0,WavFilesPath,stt,new_path,transcript,I,D,S,N,Accuracy
2085,/content/drive/MyDrive/singlish/train/0.wav,a group of boys then challenged him to climb over the railing and stand on the parapet below,0,a group of boys then challenged him to climb over the railing and stand on the parapet below,0,0,0,92,1.0
2111,/content/drive/MyDrive/singlish/train/1.wav,swap offer rate is based on the exchange rate of s g d with u s d,1,swap offer rate is based on the exchange rate of s g d with u s d,0,0,0,65,1.0
2062,/content/drive/MyDrive/singlish/train/2.wav,an officer arrived and confiscated plastic bags containing the molluscs from the trio,2,an officer arrived and confiscated plastic bags containing the molluscs from the trio,0,0,0,85,1.0
2031,/content/drive/MyDrive/singlish/train/3.wav,a box of tissue usually sits ready on the table for wiping tears,3,a box of tissue usually sits ready on the table for wiping tears,0,0,0,64,1.0
2101,/content/drive/MyDrive/singlish/train/4.wav,rescuers who used what appeared to be makeshift stretchers to carry the injured,4,rescuers who used what appeared to be makeshift stretchers to carry the injured,0,0,0,79,1.0
2021,/content/drive/MyDrive/singlish/train/5.wav,airlines are rapidly expanding their fleets to capture a slice of this market,5,airlines are rapidly expanding their fleets to capture a slice of this market,0,0,0,77,1.0
2034,/content/drive/MyDrive/singlish/train/6.wav,according to the chronicle the graduate student denied involvement with the online ads,6,according to the chronicle the graduate student denied involvement with the online ads,0,0,0,86,1.0
2000,/content/drive/MyDrive/singlish/train/7.wav,investigation are still ongoing and well update this article when more details arrive,7,investigation are still ongoing and well update this article when more details arrive,0,0,0,85,1.0
2112,/content/drive/MyDrive/singlish/train/8.wav,as systemic changes are implemented he reiterated that pacing and prioritisation are critical,8,as systemic changes are implemented he reiterated that pacing and prioritisation are critical,0,0,0,93,1.0
2094,/content/drive/MyDrive/singlish/train/9.wav,a partial eclipse is where the sun is partially by the moon,9,a partial eclipse is where the sun is partially by the moon,0,0,0,59,1.0
2109,/content/drive/MyDrive/singlish/train/10.wav,as a result power was diverted to a backup breaker which also tripped,10,as a result power was diverted to a backup breaker which also tripped,0,0,0,69,1.0
2059,/content/drive/MyDrive/singlish/train/11.wav,but mister cooks comments marked a new level of specificity on the topic,11,but mister cooks comments marked a new level of specificity on the topic,0,0,0,72,1.0
2072,/content/drive/MyDrive/singlish/train/12.wav,as settler you collect points by controlling the territories and resource to build structures,12,as settler you collect points by controlling the territories and resource to build structures,0,0,0,93,1.0
2018,/content/drive/MyDrive/singlish/train/13.wav,and regulators can gauge the service of operators,13,and regulators can gauge the service of operators,0,0,0,49,1.0
2073,/content/drive/MyDrive/singlish/train/14.wav,he attempt to sit up clutching his neck,14,he attempt to sit up clutching his neck,0,0,0,39,1.0
2026,/content/drive/MyDrive/singlish/train/15.wav,the first four books were completed as scheduled,15,the first four books were completed as scheduled,0,0,0,48,1.0
2019,/content/drive/MyDrive/singlish/train/16.wav,mergers of this sort are however not uncommon,16,mergers of this sort are however not uncommon,0,0,0,45,1.0
2037,/content/drive/MyDrive/singlish/train/17.wav,the s se index fell by zero point nine percent today,17,the s se index fell by zero point nine percent today,0,0,0,52,1.0
2010,/content/drive/MyDrive/singlish/train/18.wav,cases like this are a reminder to declare,18,cases like this are a reminder to declare,0,0,0,41,1.0
2009,/content/drive/MyDrive/singlish/train/19.wav,after that his voice became softer and softer,19,after that his voice became softer and softer,0,0,0,45,1.0
2090,/content/drive/MyDrive/singlish/train/20.wav,alcohol bottles were literally raining at police officers,20,alcohol bottles were literally raining at police officers,0,0,0,57,1.0
2051,/content/drive/MyDrive/singlish/train/21.wav,but he really wanted to make satay and hung around satay sellers and memorized their ingredients,21,but he really wanted to make satay and hung around satay sellers and memorized their ingredients,0,0,0,96,1.0
2114,/content/drive/MyDrive/singlish/train/22.wav,he was assigned to the forces signals company,22,he was assigned to the forces signals company,0,0,0,45,1.0
2001,/content/drive/MyDrive/singlish/train/23.wav,bigger units face more challenges in todays market,23,bigger units face more challenges in todays market,0,0,0,50,1.0
2071,/content/drive/MyDrive/singlish/train/24.wav,but dont worry its not a slave camp,24,but dont worry its not a slave camp,0,0,0,35,1.0
2016,/content/drive/MyDrive/singlish/train/25.wav,repricing tends to have lower costs than refinancing,25,repricing tends to have lower costs than refinancing,0,0,0,52,1.0
2049,/content/drive/MyDrive/singlish/train/26.wav,he was very passionate about bowling very sincere,26,he was very passionate about bowling very sincere,0,0,0,49,1.0
2070,/content/drive/MyDrive/singlish/train/27.wav,avoid restricting his movements when he is awake,27,avoid restricting his movements when he is awake,0,0,0,48,1.0
2045,/content/drive/MyDrive/singlish/train/28.wav,and these hooks dont just afflict otters either,28,and these hooks dont just afflict otters either,0,0,0,47,1.0
2052,/content/drive/MyDrive/singlish/train/29.wav,it is also the ultimate achievement for a leader,29,it is also the ultimate achievement for a leader,0,0,0,48,1.0
2043,/content/drive/MyDrive/singlish/train/30.wav,the flagship mine restarted processing earlier this month,30,the flagship mine restarted processing earlier this month,0,0,0,57,1.0
2092,/content/drive/MyDrive/singlish/train/31.wav,shes remitting money to china to her granddaughter,31,shes remitting money to china to her granddaughter,0,0,0,50,1.0
2067,/content/drive/MyDrive/singlish/train/32.wav,beware of anyone who plays the racial card asking chinese resident to vote for chinese only,32,beware of anyone who plays the racial card asking chinese resident to vote for chinese only,0,0,0,91,1.0
2102,/content/drive/MyDrive/singlish/train/33.wav,we will bring all the branch campuses together,33,we will bring all the branch campuses together,0,0,0,46,1.0
2002,/content/drive/MyDrive/singlish/train/34.wav,it has fine fibre marbling and a good combination of beef taste and fat which melts in your mouth,34,it has fine fibre marbling and a good combination of beef taste and fat which melts in your mouth,0,0,0,97,1.0
2040,/content/drive/MyDrive/singlish/train/35.wav,didnt you see the ferrari crashing into the taxi when the traffic lights were in favour of the taxi,35,didnt you see the ferrari crashing into the taxi when the traffic lights were in favour of the taxi,0,0,0,99,1.0
2086,/content/drive/MyDrive/singlish/train/36.wav,funny and really helpful in scenes that were more complicated physically,36,funny and really helpful in scenes that were more complicated physically,0,0,0,72,1.0
2020,/content/drive/MyDrive/singlish/train/37.wav,but he pursued in it and eventually uncovered an international piracy syndicate,37,but he pursued in it and eventually uncovered an international piracy syndicate,0,0,0,79,1.0
2033,/content/drive/MyDrive/singlish/train/38.wav,couples getting married then had to present their birth certificates instead,38,couples getting married then had to present their birth certificates instead,0,0,0,76,1.0
2048,/content/drive/MyDrive/singlish/train/39.wav,he was elected after winning the mandate of the people,39,he was elected after winning the mandate of the people,0,0,0,54,1.0
2029,/content/drive/MyDrive/singlish/train/40.wav,because of poor maintenance defect were found in the float switches,40,because of poor maintenance defect were found in the float switches,0,0,0,67,1.0
2030,/content/drive/MyDrive/singlish/train/41.wav,asian dads are typically not his openly affection with their kids,41,asian dads are typically not his openly affection with their kids,0,0,0,65,1.0
2008,/content/drive/MyDrive/singlish/train/42.wav,each bloom is complemented by a contrasting light brown waxy lip,42,each bloom is complemented by a contrasting light brown waxy lip,0,0,0,64,1.0
2097,/content/drive/MyDrive/singlish/train/43.wav,h e b has relaxed the rules last year within the temple premises,43,h e b has relaxed the rules last year within the temple premises,0,0,0,64,1.0
2056,/content/drive/MyDrive/singlish/train/44.wav,doing an ankle rotation with the tree because he can,44,doing an ankle rotation with the tree because he can,0,0,0,52,1.0
2017,/content/drive/MyDrive/singlish/train/45.wav,mercury is found in dental amalgams together with several other metals,45,mercury is found in dental amalgams together with several other metals,0,0,0,70,1.0
2083,/content/drive/MyDrive/singlish/train/46.wav,the challenge is daunting and i accept this award in trepidation,46,the challenge is daunting and i accept this award in trepidation,0,0,0,64,1.0
2099,/content/drive/MyDrive/singlish/train/47.wav,he then deposited the altered cheque into his wife bank account,47,he then deposited the altered cheque into his wife bank account,0,0,0,63,1.0
2023,/content/drive/MyDrive/singlish/train/48.wav,amanda kennedy is in her cheese room wearing a white smock,48,amanda kennedy is in her cheese room wearing a white smock,0,0,0,58,1.0
2024,/content/drive/MyDrive/singlish/train/49.wav,it is everyone prayers for the en bloc to go through,49,it is everyone prayers for the en bloc to go through,0,0,0,52,1.0
2027,/content/drive/MyDrive/singlish/train/50.wav,its very driven around relationship and its very driven around networking,50,its very driven around relationship and its very driven around networking,0,0,0,73,1.0
2060,/content/drive/MyDrive/singlish/train/51.wav,running surveys and helps in understanding what makes people tick,51,running surveys and helps in understanding what makes people tick,0,0,0,65,1.0
2036,/content/drive/MyDrive/singlish/train/52.wav,han faces an additional charge for organizing a demonstration without approval,52,han faces an additional charge for organizing a demonstration without approval,0,0,0,78,1.0
2088,/content/drive/MyDrive/singlish/train/53.wav,plant protein particularly soy and soy products can also be used,53,plant protein particularly soy and soy products can also be used,0,0,0,64,1.0
2080,/content/drive/MyDrive/singlish/train/54.wav,mary and her family were moving to another city,54,mary and her family were moving to another city,0,0,0,47,1.0
2012,/content/drive/MyDrive/singlish/train/55.wav,they brought some clothes and three days worth of food and water in their car,55,they brought some clothes and three days worth of food and water in their car,0,0,0,77,1.0
2110,/content/drive/MyDrive/singlish/train/56.wav,on the way to their destination they drove past a hill that overlooked vast fields of sunflowers,56,on the way to their destination they drove past a hill that overlooked vast fields of sunflowers,0,0,0,96,1.0
2054,/content/drive/MyDrive/singlish/train/57.wav,when they reached they saw a huge tree and sat beneath the foliage,57,when they reached they saw a huge tree and sat beneath the foliage,0,0,0,66,1.0
2025,/content/drive/MyDrive/singlish/train/58.wav,after their satisfying lunch the family took a nap with the grass as their bed,58,after their satisfying lunch the family took a nap with the grass as their bed,0,0,0,78,1.0
2100,/content/drive/MyDrive/singlish/train/59.wav,when they woke up from their rest it was already mid afternoon,59,when they woke up from their rest it was already mid afternoon,0,0,0,62,1.0
2050,/content/drive/MyDrive/singlish/train/60.wav,as they walked back they were shocked to see a pack of stray dogs circling around the car,60,as they walked back they were shocked to see a pack of stray dogs circling around the car,0,0,0,89,1.0
2028,/content/drive/MyDrive/singlish/train/61.wav,it seemed that they had smelt the food that were left in the boot,61,it seemed that they had smelt the food that were left in the boot,0,0,0,65,1.0
2107,/content/drive/MyDrive/singlish/train/62.wav,soon the menacing pack began to approach the poor outnumbered family,62,soon the menacing pack began to approach the poor outnumbered family,0,0,0,68,1.0
2039,/content/drive/MyDrive/singlish/train/63.wav,he told them that it was rare for tourists to make a stop at this area,63,he told them that it was rare for tourists to make a stop at this area,0,0,0,70,1.0
2098,/content/drive/MyDrive/singlish/train/64.wav,marys father thanked the old man and passed him an untouched box of sandwiches,64,marys father thanked the old man and passed him an untouched box of sandwiches,0,0,0,78,1.0
2081,/content/drive/MyDrive/singlish/train/65.wav,mary fell asleep on her mothers lap beat from the whole ordeal,65,mary fell asleep on her mothers lap beat from the whole ordeal,0,0,0,62,1.0
2113,/content/drive/MyDrive/singlish/train/66.wav,we watched the drama unfold before our eyes,66,we watched the drama unfold before our eyes,0,0,0,43,1.0
2106,/content/drive/MyDrive/singlish/train/67.wav,i felt happy upon hearing the good news from my parents,67,i felt happy upon hearing the good news from my parents,0,0,0,55,1.0
2005,/content/drive/MyDrive/singlish/train/68.wav,flourless cakes are not always better for health,68,flourless cakes are not always better for health,0,0,0,48,1.0
2069,/content/drive/MyDrive/singlish/train/69.wav,you can bake shortbread cookies just with sugar butter and flour,69,you can bake shortbread cookies just with sugar butter and flour,0,0,0,64,1.0
2011,/content/drive/MyDrive/singlish/train/70.wav,my uncle is thirty years younger than me,70,my uncle is thirty years younger than me,0,0,0,40,1.0
2089,/content/drive/MyDrive/singlish/train/71.wav,i attached a mirror to my closet door,71,i attached a mirror to my closet door,0,0,0,37,1.0
2093,/content/drive/MyDrive/singlish/train/72.wav,something seems to be bothering him,72,something seems to be bothering him,0,0,0,35,1.0
2015,/content/drive/MyDrive/singlish/train/73.wav,he was the president of the dance club in my school,73,he was the president of the dance club in my school,0,0,0,51,1.0
2042,/content/drive/MyDrive/singlish/train/74.wav,after a hot day all i want to do is take a bath,74,after a hot day all i want to do is take a bath,0,0,0,47,1.0
2066,/content/drive/MyDrive/singlish/train/75.wav,the thief was careful to not leave his tracks in the snow,75,the thief was careful to not leave his tracks in the snow,0,0,0,57,1.0
2058,/content/drive/MyDrive/singlish/train/76.wav,its a little cruel to be so blunt but thats the working world for you,76,its a little cruel to be so blunt but thats the working world for you,0,0,0,69,1.0
2014,/content/drive/MyDrive/singlish/train/77.wav,he thought hes brave for saying the truth but hes actually just adding fuel to the fire,77,he thought hes brave for saying the truth but hes actually just adding fuel to the fire,0,0,0,87,1.0
2006,/content/drive/MyDrive/singlish/train/78.wav,i think ill make a move first,78,i think ill make a move first,0,0,0,29,1.0
2046,/content/drive/MyDrive/singlish/train/79.wav,i believe that visitation hours are over,79,i believe that visitation hours are over,0,0,0,40,1.0
2061,/content/drive/MyDrive/singlish/train/80.wav,we now have to walk twenty minutes farther just to get a cup of coffee,80,we now have to walk twenty minutes farther just to get a cup of coffee,0,0,0,70,1.0
2007,/content/drive/MyDrive/singlish/train/81.wav,this is your last chance to join the lucky draw,81,this is your last chance to join the lucky draw,0,0,0,47,1.0
2105,/content/drive/MyDrive/singlish/train/82.wav,everyones hoping to find the cure for cancer,82,everyones hoping to find the cure for cancer,0,0,0,44,1.0
2041,/content/drive/MyDrive/singlish/train/83.wav,he became very fit ever since his breakup last year,83,he became very fit ever since his breakup last year,0,0,0,51,1.0
2055,/content/drive/MyDrive/singlish/train/84.wav,i need your help,84,i need your help,0,0,0,16,1.0
